FAVORITO,FOI_O_VENCEDOR,VALENDO_TITULO,CATEGORIA,GENERO,MAIS_RAPIDO,MAIS_PRECISO,BASE_DE_APOIO_DO LUTADOR,VITORIAS_DO_LUTADOR,DERROTAS_DO_LUTADOR,LUTAS_PELO_TITULO,KO_NA CARREIRA,SUBMISSIONS_NA_CARREIRA,ALTURA,PESO,ALCANCE,IDADE
SIM,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS VITORIAS,MAIS VITORIAS,MAIS LUTAS,MAIS KO,MAIS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,IGUAL,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,IGUAL,IGUAL,ALCANCE MENOR,MAIS VELHO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,SIM,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,MAIS PESADO,ALCANCE MENOR,IGUAL
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Southpaw,MAIS VITORIAS,MAIS VITORIAS,MENOS LUTAS,MENOS KO,MAIS SUB,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,NÃO,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,MAIS PESADO,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,ALCANCE MAIOR,MAIS VELHO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,SIM,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,IGUAL,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,MAIS LEVE,ALCANCE MAIOR,MAIS NOVO
NÃO,SIM,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,IGUAL,IGUAL,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,NÃO,Orthodox,IGUAL,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS LEVE,ALCANCE MAIOR,MAIS NOVO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
SIM,SIM,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,IGUAL,IGUAL,MENOS LUTAS,MENOS KO,IGUAL,MAIS ALTO,IGUAL,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,SIM,Lightweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,MENOS LUTAS,MENOS KO,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,SIM,Featherweight,MALE,SIM,SIM,Southpaw,MAIS VITORIAS,MAIS VITORIAS,MAIS LUTAS,MAIS KO,MAIS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS NOVO
NÃO,SIM,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,MAIS LEVE,ALCANCE MAIOR,MAIS VELHO
SIM,SIM,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS BAIXO,MAIS LEVE,ALCANCE MENOR,MAIS NOVO
SIM,SIM,NÃO,Featherweight,MALE,SIM,NÃO,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS LEVE,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,IGUAL,MAIS LUTAS,MAIS KO,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS VELHO
SIM,SIM,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,IGUAL,MAIS DERROTAS,MENOS LUTAS,MENOS KO,MAIS SUB,MAIS ALTO,MAIS PESADO,IGUAL,MAIS VELHO
SIM,SIM,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,MAIS DERROTAS,MAIS DERROTAS,MENOS LUTAS,MENOS KO,MENOS SUB,MAIS BAIXO,MAIS LEVE,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,NÃO,Southpaw,MAIS VITORIAS,MAIS VITORIAS,MENOS LUTAS,MENOS KO,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,SIM,NÃO,Featherweight,MALE,NÃO,NÃO,Southpaw,IGUAL,IGUAL,MENOS LUTAS,MENOS KO,IGUAL,MAIS BAIXO,MAIS PESADO,ALCANCE MENOR,MAIS VELHO
NÃO,SIM,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,MENOS LUTAS,MENOS KO,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Southpaw,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,MAIS PESADO,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,SIM,NÃO,Lightweight,MALE,SIM,SIM,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MENOR,IGUAL
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,MAIS SUB,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Southpaw,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,NÃO,SIM,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS LEVE,ALCANCE MAIOR,IGUAL
SIM,NÃO,NÃO,Featherweight,MALE,SIM,NÃO,Orthodox,IGUAL,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,IGUAL,MAIS LEVE,IGUAL,MAIS VELHO
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,IGUAL,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS PESADO,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,MAIS DERROTAS,MAIS VITORIAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,MAIS PESADO,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,MAIS LUTAS,MAIS KO,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,MAIS LUTAS,MAIS KO,MAIS SUB,MAIS BAIXO,MAIS LEVE,ALCANCE MENOR,MAIS NOVO
SIM,SIM,NÃO,Featherweight,MALE,NÃO,NÃO,Southpaw,MAIS DERROTAS,MAIS DERROTAS,MENOS LUTAS,MENOS KO,MENOS SUB,IGUAL,IGUAL,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,ALCANCE MENOR,IGUAL
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,IGUAL,MAIS DERROTAS,MENOS LUTAS,MENOS KO,IGUAL,IGUAL,MAIS PESADO,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,MENOS LUTAS,MENOS KO,MENOS SUB,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS VELHO
NÃO,SIM,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,IGUAL,IGUAL,MAIS VELHO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS VITORIAS,IGUAL,IGUAL,MENOS SUB,IGUAL,IGUAL,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS LEVE,ALCANCE MAIOR,MAIS NOVO
NÃO,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS DERROTAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
NÃO,SIM,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS BAIXO,MAIS LEVE,ALCANCE MENOR,IGUAL
SIM,SIM,NÃO,Featherweight,MALE,SIM,NÃO,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS LEVE,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,IGUAL,IGUAL,MAIS NOVO
SIM,NÃO,SIM,Featherweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,SIM,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,SIM,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,SIM,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS PESADO,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,IGUAL,IGUAL,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,IGUAL,MAIS NOVO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
NÃO,SIM,NÃO,Catch Weight,MALE,SIM,SIM,Southpaw,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,IGUAL,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,MAIS LEVE,ALCANCE MENOR,MAIS NOVO
SIM,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,MENOS LUTAS,MENOS KO,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS NOVO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS NOVO
SIM,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS VITORIAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,MAIS LEVE,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Southpaw,MAIS VITORIAS,MAIS VITORIAS,MENOS LUTAS,MENOS KO,MAIS SUB,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS BAIXO,MAIS LEVE,ALCANCE MENOR,MAIS NOVO
SIM,SIM,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,ALCANCE MENOR,IGUAL
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,MAIS SUB,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS VELHO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS NOVO
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Featherweight,MALE,SIM,NÃO,Orthodox,MAIS DERROTAS,MAIS VITORIAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS LEVE,ALCANCE MAIOR,MAIS NOVO
SIM,SIM,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,MENOS SUB,MAIS BAIXO,MAIS PESADO,ALCANCE MENOR,MAIS NOVO
NÃO,SIM,NÃO,Lightweight,MALE,SIM,SIM,Southpaw,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS NOVO
NÃO,NÃO,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,MAIS PESADO,ALCANCE MAIOR,MAIS NOVO
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,IGUAL,IGUAL,IGUAL,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Southpaw,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MENOR,MAIS NOVO
NÃO,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS LEVE,ALCANCE MAIOR,MAIS NOVO
SIM,SIM,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,ALCANCE MENOR,MAIS VELHO
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS NOVO
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,SIM,NÃO,Lightweight,MALE,SIM,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,MENOS LUTAS,MENOS KO,MENOS SUB,MAIS ALTO,MAIS PESADO,IGUAL,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
SIM,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,IGUAL,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MENOR,MAIS NOVO
SIM,NÃO,SIM,Lightweight,MALE,NÃO,NÃO,Southpaw,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,IGUAL,MAIS VELHO
NÃO,SIM,NÃO,Featherweight,MALE,SIM,SIM,Orthodox,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,MAIS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MENOR,MAIS NOVO
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,IGUAL,ALCANCE MAIOR,MAIS NOVO
NÃO,NÃO,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MENOR,MAIS NOVO
SIM,SIM,NÃO,Featherweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,MAIS SUB,IGUAL,IGUAL,IGUAL,MAIS VELHO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,SIM,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,IGUAL,IGUAL
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,MAIS LUTAS,MAIS KO,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,IGUAL,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,ALCANCE MAIOR,MAIS NOVO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
NÃO,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,MAIS DERROTAS,MAIS DERROTAS,MENOS LUTAS,MENOS KO,IGUAL,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
NÃO,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS DERROTAS,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,MAIS LEVE,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Orthodox,MAIS DERROTAS,MAIS DERROTAS,IGUAL,IGUAL,MENOS SUB,MAIS ALTO,MAIS PESADO,ALCANCE MAIOR,MAIS VELHO
NÃO,SIM,NÃO,Lightweight,MALE,NÃO,SIM,Southpaw,IGUAL,IGUAL,IGUAL,IGUAL,IGUAL,MAIS BAIXO,MAIS LEVE,ALCANCE MENOR,MAIS NOVO
SIM,SIM,NÃO,Lightweight,MALE,NÃO,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,MENOS LUTAS,MENOS KO,MAIS SUB,MAIS ALTO,IGUAL,ALCANCE MAIOR,MAIS VELHO
SIM,NÃO,NÃO,Lightweight,MALE,NÃO,NÃO,Southpaw,MAIS VITORIAS,MAIS VITORIAS,IGUAL,IGUAL,IGUAL,MAIS ALTO,IGUAL,IGUAL,MAIS VELHO
NÃO,NÃO,NÃO,Lightweight,MALE,SIM,SIM,Orthodox,MAIS DERROTAS,MAIS DERROTAS,MAIS LUTAS,MAIS KO,MENOS SUB,MAIS BAIXO,MAIS PESADO,ALCANCE MENOR,MAIS VELHO
